#Field Number RA DEC
71690.000000 17355.000000 16.273010  2.154941
71690.000000 18758.000000 16.259995  2.144820
70063.000000 24151.000000 114.205796  65.687835
70063.000000 26451.000000 113.965153  65.583279
70455.000000 1485.000000 149.076360  68.828615
70466.000000 9220.000000 184.043069  69.557517
70466.000000 18549.000000 184.115995  69.412004
67905.000000 25070.000000 284.833521  48.465604
69221.000000 9002.000000 106.206103  56.514662
70525.000000 9777.000000 124.707754  70.747177
64235.000000 10908.000000 183.758086  35.965388
63728.000000 10889.000000 186.494025  33.604858
63728.000000 15748.000000 186.398924  33.521814
62617.000000 9746.000000 194.865740  27.636267
63864.000000 47481.000000 283.393295  33.033544
63864.000000 51786.000000 283.400162  33.023811
72839.000000 2824.000000 20.879405  6.960254
68634.000000 5210.000000 211.241344  53.691023
68634.000000 14415.000000 210.614164  54.227656
68634.000000 15296.000000 210.930819  54.497077
68634.000000 15941.000000 211.211404  54.468652
68634.000000 15957.000000 210.599183  54.464909
68634.000000 16015.000000 210.605519  54.454592
68634.000000 16234.000000 210.958026  54.464026
68634.000000 16473.000000 211.045855  54.422678
68634.000000 16481.000000 211.046879  54.421687
68634.000000 16543.000000 210.575429  54.372973
68634.000000 16609.000000 210.637849  54.425338
68634.000000 16616.000000 210.588127  54.363185
68634.000000 16639.000000 210.591907  54.366089
68634.000000 16776.000000 211.121464  54.396744
68634.000000 16755.000000 211.121854  54.398040
68634.000000 16824.000000 210.585040  54.360120
68634.000000 16909.000000 210.635155  54.426282
68634.000000 17965.000000 210.545088  54.308505
68634.000000 18120.000000 211.133648  54.423812
68634.000000 18526.000000 210.695002  54.419244
68634.000000 18964.000000 210.921614  54.406273
68634.000000 22101.000000 210.584949  54.387264
67346.000000 16270.000000 236.628604  46.002137
63308.000000 6151.000000 147.587160  31.486394
70145.000000 19210.000000 280.424544  65.199499
63391.000000 14288.000000 190.986268  32.170386
67646.000000 12452.000000 244.097964  47.034074
70362.000000 24746.000000 157.337721  68.477106
70362.000000 24916.000000 157.183847  68.473982
70431.000000 16825.000000 112.179163  69.189351
64078.000000 73697.000000 282.507716  35.242500
75572.000000 15626.000000 154.679463  46.050556
66536.000000 12008.000000 187.200491  43.230198
66536.000000 12037.000000 187.194445  43.229195
66536.000000 15026.000000 187.179276  43.242487
64138.000000 3942.000000 126.481246  35.542231
66608.000000 6957.000000 221.047623  42.626579
